time,size1,density1,universe1,size2,density2,universe2
0.00114989,9530649,0.5,19061298,22777792,0.5,45555584
0.0186069,11896357,0.04,297408925,4474332,0.04,111858300
0.06253695,18552158,0.01,1855215800,15684648,0.01,1568464800
0.00146604,26567535,0.5,53135070,16209181,0.5,32418362
0.00091505,15035617,0.5,30071234,9991256,0.5,19982512
0.11424589,37857584,0.01,3785758400,30090319,0.01,3009031900
0.06749201,24058445,0.04,601461125,26659119,0.04,666477975
0.01492405,7207889,0.1,72078890,27751625,0.1,277516250
0.01672792,20020724,0.1,200207240,30259436,0.1,302594360
0.01592588,28026193,0.1,280261930,17751560,0.1,177515600
0.00220609,27062175,0.5,54124350,38847530,0.5,77695060
0.01438713,12822605,0.1,128226050,26681715,0.1,266817150
0.0102222,9594806,0.1,95948060,19170448,0.1,191704480
0.00198698,26863231,0.5,53726462,33686813,0.5,67373626
0.11605716,27055515,0.01,2705551500,32158724,0.01,3215872400
0.001369,9839551,0.5,19679102,28142467,0.5,56284934
0.00175905,22391130,0.5,44782260,31218568,0.5,62437136
0.09528303,36659886,0.04,916497150,33105907,0.04,827647675
0.00024414,14205605,0.999,14219824,23416610,0.999,23440050
0.00127196,31550900,0.5,63101800,4309310,0.5,8618620
0.00167584,18342919,0.5,36685838,30926056,0.5,61852112
0.0472641,22519992,0.04,562999800,15626473,0.04,390661825
0.02218485,31209812,0.1,312098120,38472376,0.1,384723760
0.02054191,31950454,0.1,319504540,34181996,0.1,341819960
0.0002799,6794133,0.5,13588266,1667996,0.5,3335992
0.00045085,24662197,0.999,24686883,38103136,0.999,38141277
0.000103,38986235,0.999,39025260,1381001,0.999,1382383
0.07308102,11926575,0.01,1192657500,37152346,0.01,3715234600
0.02051711,36513222,0.1,365132220,23608214,0.1,236082140
0.0005641,9162324,0.5,18324648,9547643,0.5,19095286
0.01573801,27786182,0.1,277861820,19087265,0.1,190872650
0.01621604,29455129,0.1,294551290,14427056,0.1,144270560
0.04447603,25652741,0.04,641318525,12542631,0.04,313565775
0.00123119,24630584,0.5,49261168,11580043,0.5,23160086
0.06807899,18946257,0.04,473656425,38927008,0.04,973175200
0.00058794,37205263,0.999,37242505,36841666,0.999,36878544
0.0285089,4167840,0.04,104196000,24447560,0.04,611189000
0.00016499,7379713,0.999,7387100,29961851,0.999,29991842
0.07360601,25202441,0.04,630061025,30842759,0.04,771068975
0.11539006,35368464,0.01,3536846400,33488758,0.01,3348875800
0.04728794,7993162,0.04,199829050,39231131,0.04,980778275
0.07614279,23401914,0.04,585047850,36853982,0.04,921349550
0.00018382,39021704,0.999,39060764,5955373,0.999,5961334
0.00169492,7303402,0.5,14606804,34020817,0.5,68041634
0.00862312,8633552,0.1,86335520,15593895,0.1,155938950
0.02834511,33134131,0.04,828353275,1196594,0.04,29914850
0.01738715,31130561,0.1,311305610,19745717,0.1,197457170
0.00025821,13949288,0.999,13963251,29328304,0.999,29357661
0.12028694,39898302,0.01,3989830200,30015956,0.01,3001595600
0.01196289,12210172,0.1,122101720,22258440,0.1,222584400
0.00021386,33412559,0.999,33446005,10198927,0.999,10209136
0.01166701,4899168,0.1,48991680,23516986,0.1,235169860
0.07429099,19721535,0.01,1972153500,20139469,0.01,2013946900
0.00015712,8547077,0.999,8555632,16873752,0.999,16890642
0.00030708,29877260,0.999,29907167,17359667,0.999,17377044
0.01744008,31644047,0.1,316440470,18001043,0.1,180010430
0.01420808,6012435,0.1,60124350,27762413,0.1,277624130
0.04116702,8536244,0.01,853624400,16234984,0.01,1623498400
0.01055312,19670065,0.1,196700650,7199731,0.1,71997310
0.05427003,17219057,0.01,1721905700,13389779,0.01,1338977900
0.00526404,10484294,0.1,104842940,934914,0.1,9349140
0.00153995,5836917,0.5,11673834,32428910,0.5,64857820
0.00015187,29871486,0.999,29901387,5948046,0.999,5954000
0.00017095,7217411,0.999,7224635,32818430,0.999,32851281
0.00017691,26542804,0.999,26569373,8103666,0.999,8111777
0.00011301,6184120,0.999,6190310,8964692,0.999,8973665
0.05191898,7339306,0.01,733930600,29733522,0.01,2973352200
0.06363297,23017584,0.04,575439600,24229623,0.04,605740575
0.06319404,22618607,0.04,565465175,24713105,0.04,617827625
0.00131893,20636237,0.5,41272474,21864119,0.5,43728238
0.06553102,33988320,0.04,849708000,20417239,0.04,510430975
0.01171207,21379021,0.1,213790210,6456032,0.1,64560320
0.03532887,1903190,0.01,190319000,25831283,0.01,2583128300
0.01952291,37025931,0.1,370259310,9713653,0.1,97136530
0.001755,8364982,0.5,16729964,36565508,0.5,73131016
0.06036115,17067622,0.04,426690550,34338880,0.04,858472000
0.08421993,23929571,0.01,2392957100,21934924,0.01,2193492400
0.05700278,11950987,0.01,1195098700,23534994,0.01,2353499400
0.00017285,7640104,0.999,7647751,32653266,0.999,32685951
0.01827097,23588724,0.1,235887240,32271018,0.1,322710180
0.00143719,31972691,0.5,63945382,6347026,0.5,12694052
0.04544616,30834020,0.04,770850500,10400068,0.04,260001700
0.05677104,39121128,0.04,978028200,12813199,0.04,320329975
0.00025105,13638681,0.999,13652333,30350356,0.999,30380736
0.02750707,18547066,0.04,463676650,6417000,0.04,160425000
0.00097203,18111449,0.5,36222898,10478410,0.5,20956820
0.00067496,5309508,0.5,10619016,13965860,0.5,27931720
0.00520086,10942965,0.1,109429650,133544,0.1,1335440
0.01592898,1792199,0.1,17921990,32373824,0.1,323738240
0.04771519,9805212,0.04,245130300,35386279,0.04,884656975
0.11351395,35107739,0.01,3510773900,32080949,0.01,3208094900
0.001266,24975601,0.5,49951202,6098174,0.5,12196348
4.315e-05,1956140,0.999,1958098,5059409,0.999,5064473
0.00167394,29956539,0.5,59913078,21242056,0.5,42484112
0.00038314,29744198,0.999,29773971,22994151,0.999,23017168
0.01243091,433043,0.01,43304300,10291823,0.01,1029182300
0.01951194,13352168,0.01,1335216800,1439090,0.01,143909000
0.00022388,13948305,0.999,13962267,16230110,0.999,16246356
0.00012302,14206511,0.999,14220731,6438354,0.999,6444798
0.00189805,26651989,0.5,53303978,32930191,0.5,65860382
0.058254,22864493,0.01,2286449300,12809458,0.01,1280945800
0.00013304,1578655,0.5,3157310,3215395,0.5,6430790
0.03840017,8317741,0.04,207943525,29026570,0.04,725664250
0.09578705,32851561,0.01,3285156100,20624842,0.01,2062484200
0.00164294,27140441,0.5,54280882,24697961,0.5,49395922
0.05739498,32651923,0.01,3265192300,8449304,0.01,844930400
0.00178814,9968004,0.5,19936008,36915084,0.5,73830168
6.008e-05,21750271,0.999,21772043,771592,0.999,772364
0.05035305,12239694,0.04,305992350,34099091,0.04,852477275
0.01627898,30772685,0.1,307726850,6796547,0.1,67965470
0.01428604,26062404,0.1,260624040,10719196,0.1,107191960
0.02152491,39200325,0.1,392003250,19665742,0.1,196657420
0.00014186,23430318,0.999,23453771,6185509,0.999,6191700
0.05044889,16746487,0.01,1674648700,11813519,0.01,1181351900
0.00071287,17811752,0.5,35623504,424947,0.5,849894
0.00126386,3341664,0.5,6683328,28166119,0.5,56332238
0.00030994,30747627,0.999,30778405,16908125,0.999,16925050
0.04256392,24799661,0.04,619991525,11185112,0.04,279627800
0.00042892,19963120,0.999,19983103,34558230,0.999,34592822
0.09768987,31724012,0.01,3172401200,23922391,0.01,2392239100
0.05197215,36996086,0.01,3699608600,5597401,0.01,559740100
0.04959512,24801744,0.01,2480174400,8143277,0.01,814327700
0.01603794,1407243,0.04,35181075,16798260,0.04,419956500
0.09334087,17777553,0.01,1777755300,38285330,0.01,3828533000
0.06035805,18946133,0.01,1894613300,14909038,0.01,1490903800
0.05168796,10473160,0.04,261829000,39000840,0.04,975021000
0.02048612,15376443,0.1,153764430,38716209,0.1,387162090
0.09037304,18937185,0.01,1893718500,34105213,0.01,3410521300
0.04969001,16324813,0.04,408120325,23285270,0.04,582131750
0.029773,32512115,0.04,812802875,2141852,0.04,53546300
0.06244302,22822487,0.01,2282248700,14486656,0.01,1448665600
0.00157499,33260663,0.5,66521326,12972689,0.5,25945378
5.198e-05,606270,0.999,606876,17382089,0.999,17399488
0.0784049,29759169,0.04,743979225,28839428,0.04,720985700
0.00036502,21117550,0.999,21138688,34275016,0.999,34309325
0.00029802,18058565,0.999,18076641,22878507,0.999,22901408
0.000144,33613494,0.999,33647141,4916677,0.999,4921598
0.02251983,7979906,0.04,199497650,9208295,0.04,230207375
0.00080705,12752159,0.5,25504318,13751844,0.5,27503688
0.00068307,12165345,0.5,24330690,10191904,0.5,20383808
0.01225996,6059974,0.04,151499350,3878698,0.04,96967450
0.00019908,13814169,0.999,13827996,11842596,0.999,11854450
0.02254105,6427047,0.04,160676175,12654468,0.04,316361700
0.07595611,29821399,0.04,745534975,26655450,0.04,666386250
0.04649282,8051749,0.04,201293725,37616532,0.04,940413300
8.297e-05,1500073,0.999,1501574,28016649,0.999,28044693
0.0283711,33189693,0.04,829742325,1339121,0.04,33478025
0.03567219,17600488,0.01,1760048800,5412966,0.01,541296600
0.00042987,6903495,0.5,13806990,7146070,0.5,14292140
0.05718493,18241112,0.04,456027800,25694701,0.04,642367525
0.07207918,29262550,0.01,2926255000,14782665,0.01,1478266500
0.04916811,13074940,0.01,1307494000,14185454,0.01,1418545400
0.00012803,7130514,0.999,7137651,14796367,0.999,14811178
0.00703812,8226601,0.1,82266010,12612357,0.1,126123570
0.09919906,39255679,0.01,3925567900,19752888,0.01,1975288800
0.04169202,17278826,0.01,1727882600,8288919,0.01,828891900
0.00061417,38178248,0.999,38216464,38281211,0.999,38319530
0.05556607,6361505,0.01,636150500,38424040,0.01,3842404000
0.00023413,12788941,0.999,12801742,27442834,0.999,27470304
0.00203681,9584696,0.5,19169392,37411908,0.5,74823816
0.00020599,22817650,0.999,22840490,8073579,0.999,8081660
0.00491595,3154321,0.1,31543210,9614207,0.1,96142070
0.04689598,9475756,0.01,947575600,18718856,0.01,1871885600
0.06559706,29068594,0.04,726714850,22783810,0.04,569595250
0.04657483,15997234,0.04,399930850,20065069,0.04,501626725
0.11263919,36597663,0.01,3659766300,29656144,0.01,2965614400
0.03980899,33934037,0.04,848350925,7126817,0.04,178170425
0.01420784,26076023,0.1,260760230,12089910,0.1,120899100
0.01415801,26410609,0.1,264106090,7803871,0.1,78038710
0.10315013,34522937,0.04,863073425,34241817,0.04,856045425
0.00015903,8040086,0.999,8048134,20025515,0.999,20045560
0.03375602,1351596,0.04,33789900,38672523,0.04,966813075
0.02722597,26591736,0.04,664793400,3301902,0.04,82547550
0.11652088,39719388,0.01,3971938800,30032250,0.01,3003225000
0.00033689,35969605,0.999,36005610,15790101,0.999,15805906
0.04007721,27883845,0.04,697096125,9325345,0.04,233133625
0.00184822,24535604,0.5,49071208,32976360,0.5,65952720
0.04425621,9051024,0.01,905102400,17752273,0.01,1775227300
