time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
8.011e-05,True,True,True,True,True,False,True,True,False,1048582,1572873,1048575,1572862
6.91e-06,False,False,True,True,True,False,True,False,False,131,8385,1048566,1572853
5.01e-06,False,True,False,False,True,False,True,True,False,120,182,129,8266
0.00014591,True,True,True,False,True,True,False,False,True,1048569,1572853,1048581,67109190
0.01964307,True,False,True,False,True,False,True,False,False,1048568,67108352,1048580,67109129
4.697e-05,True,False,False,False,True,True,False,False,True,1048586,67109509,120,7687
3.6e-05,True,False,False,True,True,False,True,True,False,1048569,67108418,121,187
0.00015187,True,True,True,False,True,False,False,True,False,1048575,1572865,1048570,67108488
6.91e-06,False,False,False,False,True,False,True,False,False,118,7557,134,8581
0.00013089,True,False,True,True,True,True,False,True,False,1048570,67108488,1048567,1572852
1.001e-05,False,True,True,True,True,True,True,True,False,124,188,1048579,1572873
5.96e-06,False,False,False,False,False,False,False,False,False,120,7680,132,8452
8.321e-05,True,True,True,True,False,True,True,True,True,1048586,1572879,1048571,1572857
4.101e-05,True,False,False,True,True,False,True,True,True,1048584,67109379,121,182
1.001e-05,True,True,False,True,True,True,True,True,True,1048570,1572856,119,188
0.00087881,True,False,True,True,False,False,True,True,False,1048570,67108490,1048581,1572871
5.01e-06,False,True,False,False,False,False,False,True,False,126,199,130,8324
8.392e-05,True,True,False,True,False,True,False,False,False,1048573,1572866,119,178
0.019943,True,False,True,False,True,True,False,False,True,1048566,67108225,1048571,67108553
1.407e-05,False,False,True,True,True,True,False,True,False,128,8193,1048584,1572877
0.00015593,True,False,True,True,True,True,False,True,True,1048575,67108807,1048575,1572871
6.91e-06,False,False,False,False,True,True,False,True,True,119,7621,131,8385
0.00078988,False,False,True,False,False,False,True,False,False,119,7616,1048585,67109444
4.292e-05,False,False,True,False,True,True,False,False,False,132,8452,1048584,67109385
6.795e-05,True,True,False,False,False,False,True,False,True,1048577,1572867,122,7814
0.00100803,True,True,True,False,False,False,False,False,False,1048580,1572878,1048566,67108234
6.91e-06,False,False,False,True,False,False,True,True,True,133,8515,124,187
6.413e-05,False,True,True,False,True,True,False,False,True,129,197,1048583,67109321
6.485e-05,False,True,True,False,True,True,True,False,False,136,211,1048567,67108296
4.292e-05,True,False,False,False,True,True,True,True,False,1048584,67109376,130,8325
5.01e-06,False,True,False,True,True,True,False,True,False,123,185,118,183
0.00089478,True,False,True,True,False,True,True,False,True,1048570,67108480,1048572,1572868
4.387e-05,False,False,True,False,True,False,False,False,False,124,7936,1048573,67108681
1.383e-05,False,True,False,False,True,True,True,False,True,121,186,127,8135
7.87e-06,False,False,False,True,False,True,True,False,True,136,8711,135,207
0.00014997,True,True,True,False,True,False,False,False,True,1048570,1572864,1048579,67109058
4.196e-05,True,False,False,False,True,False,False,True,True,1048570,67108488,133,8519
5.96e-06,False,False,False,True,True,True,False,True,True,132,8452,119,185
0.00076699,True,False,False,True,False,False,False,False,False,1048574,67108741,136,210
6.91e-06,False,False,False,False,False,False,False,True,True,124,7938,130,8326
1.121e-05,False,False,True,True,True,True,True,False,False,136,8714,1048578,1572867
1.097e-05,False,True,False,True,False,False,True,False,True,118,177,128,197
0.0008111,False,False,True,False,False,True,False,False,True,126,8070,1048581,67109188
0.00019217,True,True,True,True,False,True,False,False,False,1048570,1572864,1048573,1572869
6.604e-05,True,True,False,False,False,False,True,False,False,1048585,1572879,129,8257
0.00073504,True,False,False,False,False,True,False,True,False,1048574,67108743,127,8135
5.96e-06,False,True,False,True,True,False,False,True,True,123,189,121,188
5.96e-06,False,False,True,True,True,True,True,True,False,137,8773,1048569,1572861
0.000875,True,False,False,True,False,True,True,False,False,1048585,67109446,130,197
5.96e-06,False,True,False,False,False,False,True,True,False,126,197,136,8713
0.0002408,True,True,True,True,True,True,True,False,False,1048574,1572868,1048570,1572855
1.097e-05,True,True,False,False,True,True,True,False,False,1048571,1572865,126,8071
7.296e-05,True,True,False,True,False,True,False,False,True,1048575,1572872,121,189
0.00095296,True,True,True,False,False,True,True,True,True,1048583,1572879,1048576,67108874
0.00088,True,True,True,False,False,True,True,False,True,1048571,1572865,1048585,67109443
5.96e-06,False,True,False,False,True,False,False,False,False,136,205,131,8392
1.502e-05,False,True,True,True,True,True,False,False,True,138,215,1048583,1572884
0.00082016,True,True,True,False,False,False,True,True,True,1048571,1572859,1048573,67108674
9.06e-06,False,True,True,True,True,True,False,True,False,124,186,1048572,1572864
0.000808,False,False,True,False,False,True,True,False,True,125,8006,1048582,67109253
3.409e-05,False,True,True,False,True,False,True,True,True,129,202,1048568,67108355
0.01967502,True,False,True,False,False,False,True,False,False,1048583,67109322,1048575,67108810
3.1e-06,False,False,False,False,False,False,False,True,False,120,7683,118,7561
7.01e-05,False,False,True,True,False,True,False,False,False,136,8714,1048572,1572867
7.15e-06,False,False,False,True,True,False,True,True,True,132,8449,128,201
8.82e-06,False,False,False,False,False,False,True,False,True,132,8456,131,8393
6.91e-06,False,True,False,True,False,True,True,True,False,136,206,121,182
3.791e-05,True,False,False,False,True,True,False,True,False,1048574,67108742,131,8386
7.87e-06,False,True,False,False,False,False,True,True,True,118,186,128,8200
4.482e-05,False,True,True,False,True,False,True,False,False,138,213,1048583,67109315
5.698e-05,True,True,False,False,False,True,False,False,False,1048566,1572851,127,8130
9.108e-05,True,True,True,True,False,False,True,True,True,1048584,1572883,1048586,1572881
0.00027895,True,True,True,False,True,False,False,False,False,1048582,1572880,1048576,67108870
