time,size1,density1,universe1,size2,density2,universe2
0.00372887,18440370,0.25,73761480,1478999,0.25,5915996
0.05311203,91969040,0.1,919690400,53502879,0.1,535028790
0.02416515,45765541,0.1,457655410,4093495,0.1,40934950
0.05202794,97590373,0.1,975903730,11025504,0.1,110255040
0.00830197,13686843,0.1,136868430,14006006,0.1,140060060
0.03339911,56984213,0.1,569842130,37240664,0.1,372406640
0.00811505,38041242,0.25,152164968,10834135,0.25,43336540
0.04109192,75481782,0.1,754817820,18581355,0.1,185813550
0.00303912,42878201,0.8,53597751,93758850,0.8,117198562
0.02317405,68440659,0.25,273762636,99722612,0.25,398890448
0.02735901,7878617,0.1,78786170,53946560,0.1,539465600
0.00340891,92992449,0.8,116240561,73450613,0.8,91813266
0.00059605,24129010,0.8,30161262,2197697,0.8,2747121
0.01984692,89328058,0.25,357312232,39550090,0.25,158200360
0.00270796,61595516,0.8,76994395,72287167,0.8,90358958
0.00262117,84799357,0.8,105999196,26481182,0.8,33101477
0.010005,9060998,0.25,36243992,49117930,0.25,196471720
0.04750919,80138380,0.1,801383800,53463956,0.1,534639560
0.01942396,42398473,0.25,169593892,86660629,0.25,346642516
0.00191188,54400926,0.8,68001157,37158063,0.8,46447578
0.04239202,15309839,0.1,153098390,79063372,0.1,790633720
0.01142406,48715764,0.25,194863056,40888888,0.25,163555552
0.01766086,79169358,0.25,316677432,40455229,0.25,161820916
0.014678,17189296,0.25,68757184,71260219,0.25,285040876
0.00028396,9024642,0.8,11280802,6732464,0.8,8415580
0.00215197,81601966,0.8,102002457,4599131,0.8,5748913
0.00178099,50847436,0.8,63559295,35273802,0.8,44092252
0.00195384,18795918,0.8,23494897,63643599,0.8,79554498
0.01884723,80009491,0.25,320037964,60663582,0.25,242654328
0.02800584,52672310,0.1,526723100,4350291,0.1,43502910
0.01865697,29387819,0.25,117551276,86878018,0.25,347512072
0.01947498,22371173,0.1,223711730,33978237,0.1,339782370
0.02111411,96684181,0.25,386736724,30078514,0.25,120314056
0.02136397,94645568,0.25,378582272,35211956,0.25,140847824
0.011724,15117028,0.25,60468112,56494970,0.25,225979880
0.01633096,16890532,0.1,168905320,29204759,0.1,292047590
0.021281,98243687,0.25,392974748,26441631,0.25,105766524
0.01190901,58327019,0.25,233308076,4518821,0.25,18075284
0.00849009,16056108,0.1,160561080,4363030,0.1,43630300
0.00939894,39768920,0.25,159075680,37279933,0.25,149119732
0.00278401,831294,0.1,8312940,5673544,0.1,56735440
0.00356197,98431530,0.8,123039412,71296029,0.8,89120036
0.03144598,39473052,0.1,394730520,53756976,0.1,537569760
0.00074291,19610509,0.8,24513136,19417836,0.8,24272295
0.02444983,298475,0.1,2984750,48344136,0.1,483441360
0.00145602,19944922,0.8,24931152,45000919,0.8,56251148
0.02244186,96217418,0.25,384869672,67234847,0.25,268939388
0.0283711,16953448,0.1,169534480,51907616,0.1,519076160
0.02493906,43586523,0.1,435865230,18602637,0.1,186026370
0.01526308,18931597,0.25,75726388,73597501,0.25,294390004
0.03240514,59631861,0.1,596318610,9387427,0.1,93874270
0.03033614,8626966,0.1,86269660,56260308,0.1,562603080
0.00236201,19596661,0.8,24495826,77400868,0.8,96751085
0.00284195,77168067,0.8,96460083,71001561,0.8,88751951
0.00182486,61969397,0.8,77461746,15316428,0.8,19145535
0.00745106,1586387,0.25,6345548,38330757,0.25,153323028
0.01513004,69820964,0.25,279283856,21536528,0.25,86146112
0.01167107,10354939,0.1,103549390,21706259,0.1,217062590
0.04532719,83363868,0.1,833638680,19631522,0.1,196315220
0.0022099,26079982,0.8,32599977,68792155,0.8,85990193
0.05582094,99387796,0.1,993877960,39228764,0.1,392287640
0.0507369,64308271,0.1,643082710,83133663,0.1,831336630
0.00172591,13261155,0.8,16576443,59135729,0.8,73919661
0.00286198,20121621,0.8,25152026,96004576,0.8,120005720
0.00327086,53944255,0.8,67430318,96187439,0.8,120234298
0.00183082,48623056,0.8,60778820,38390991,0.8,47988738
0.04760909,24252873,0.1,242528730,84990358,0.1,849903580
0.00423193,18544823,0.25,74179292,13162967,0.25,52651868
0.00292706,80488018,0.8,100610022,61186591,0.8,76483238
0.05245996,42103400,0.1,421034000,92678254,0.1,926782540
0.01484585,68966124,0.25,275864496,13929115,0.25,55716460
0.01737094,72263805,0.25,289055220,67787537,0.25,271150148
